name,types,address,place_id,longitude,latitude
"Hai T. Nguyen, BA",pharmacy,"999 Asylum Avenue, Hartford",ChIJT3eJVldT5okRNX1xQmOlxhg,1014188.9889469056,841708.7576411321
Arrow Pharmacy,pharmacy,"100 Woodland Street, Hartford",ChIJP8ZgQqhU5okR0dQszpMs8N8,1013973.1096776986,842710.8621333294
Walgreens Pharmacy,pharmacy,"1291 Albany Avenue, Hartford",ChIJZxJChdVV5okROYD8Sh1wMVg,1014089.1953514434,845417.1909028081
Kure Rx,pharmacy,"1156 Albany Avenue, Hartford",ChIJS7dhsKVU5okRctFxQAoJ8KE,1014830.0818926105,845722.827409745
Walgreens,pharmacy,"500 Albany Avenue, Hartford",ChIJZc0NnsdV5okRdfcnrWfzK6g,1017809.9076303779,844312.381600776
Curaleaf Hartford,pharmacy,"92 Weston Street, Hartford",ChIJaQ_Tn4pU5okRsIJWbH5Dhj8,1023845.3648217196,847298.4422241003
Arrow,pharmacy,"92 Weston Street suite 16, Hartford",ChIJDd9B2GFU5okR3b1V6Zx5GXY,1023796.6484792881,847441.1272595475
CVS Pharmacy,pharmacy,"479 Blue Hills Avenue, Hartford",ChIJCcRFacZU5okRIYHPFz4VP0M,1014737.3220865016,851827.6608465157
Genoa Healthcare,pharmacy,"56 Coventry Street suite b, Hartford",ChIJx7vnKL5V5okRIa1k8DU_Vxo,1016462.5798078411,851427.5645662806
Arrow Prescription Center,pharmacy,"131 Coventry Street # 2, Hartford",ChIJt9civMNU5okRjRu6xS4YxiE,1016061.8611307567,852297.2152742692
Main Street Pharmacy,pharmacy,"2550 Main Street, Hartford",ChIJn9EYSalV5okR5OLEI-SuE2g,1021341.7017459457,848107.5175551294
Subway,restaurant,"497 Flatbush Avenue, Hartford",ChIJr8O9-dSs54kRzDZKay4KTAE,1010168.8857551762,830469.8627702544
First & Last Tavern,restaurant,"939 Maple Avenue, Hartford",ChIJPbLAxd9S5okRhhOnr5uJh0s,1016957.8993435376,828138.6312909299
Popeyes Louisiana Kitchen,restaurant,"523 Flatbush Avenue, Hartford",ChIJN-FeVtSs54kRBD7Pi2BVoQY,1010038.4655954726,831092.4083002732
Subway,restaurant,"860 Maple Avenue, Hartford",ChIJ0SRl-B9T5okRJjapBPS-SlE,1017445.9891275644,828903.664417405
Taco Bell,restaurant,"485 Flatbush Avenue, Hartford",ChIJwVqy6NSs54kR25f9Ir9iWfo,1010503.4278276799,831210.2732446111
Piolin Restaurant,restaurant,"417 New Britain Avenue, Hartford",ChIJETDSNSZT5okRlft8Z4Pb-Ho,1014592.1135281475,830207.1256135651
Coyote Flaco Mexican Restaurant,restaurant,"635 New Britain Avenue, Hartford",ChIJZ5S3x9ZS5okRz-PFQ7tMiZc,1013073.1706949339,828029.6827449428
Denny's,restaurant,"539 Flatbush Avenue, Hartford",ChIJV4wFUtSs54kRWOR3lbHdrHA,1009917.8189541473,831073.9918562518
Carbone's,restaurant,"588 Franklin Avenue, Hartford",ChIJp6-oy-JS5okRL7yYlaAPIdc,1020695.4909919525,827639.0450965144
Fung Chinese Restaurant,restaurant,"891 Maple Avenue, Hartford",ChIJSWHU8N9S5okR2FECu7iI3kY,1017172.0418054663,828641.3195391803
CASONA RESTAURANT,restaurant,"681 Wethersfield Avenue, Hartford",ChIJ08-onQNT5okR_BHEdIX9DpU,1021416.4442645888,829377.0747571344
Millennium Italian Society,restaurant,"809 Wethersfield Avenue, Hartford",ChIJpWzobgJT5okR48zrOf19eLw,1021691.2910920288,828096.3046086146
La Fonda Bar Restaurante,restaurant,"269 Franklin Avenue, Hartford",ChIJz_PXmhpT5okRnkCGPSjw3NU,1019990.716008718,831517.8694586096
La Rosa's Marketplace,restaurant,"94 Brown Street, Hartford",ChIJj8aS5RxT5okR-RN7y-7hfN8,1020148.172415755,829358.5392080018
Matty D's Restaurant & Bar,restaurant,"236 South Street, Hartford",ChIJL4yU4OFS5okRxXNcvYPI5Kc,1018682.1876159476,828408.2360558854
Great Wall Restaurant,restaurant,"764 Maple Avenue, Hartford",ChIJZS0PPx9T5okRG463HVtRg7E,1017887.3211896647,830029.4211836873
U.S.S. Chowder Pot IV,restaurant,"165 Brainard Road, Hartford",ChIJ_9ztMqpT5okRiDBNNehPxK0,1024234.2794904804,828683.5572249285
Subway,restaurant,"110 Brainard Road, Hartford",ChIJJ2sU3QZT5okRTzqZsgUEY0w,1024823.3531185248,829421.9917617806
McDonald's,restaurant,"76 Brainard Road, Hartford",ChIJi8CkrqlT5okRcHCHPahW2J0,1024739.3262746967,829907.9667891808
Canicattinese Society Inc,restaurant,"500 Franklin Avenue, Hartford",ChIJ24IsMR1T5okRFOpr36XdbVw,1020520.7359766416,828655.6559685539
Nolita Kitchen,restaurant,"901 Wethersfield Avenue, Hartford",ChIJbfeuUwFU5okRIceSbasfTkQ,1021761.1211430096,827168.0800634244
The Rockin Chicken,restaurant,"476 Franklin Avenue, Hartford",ChIJ_ZgKJx1T5okReexDG90nqNc,1020499.7854892021,828988.0364612914
Shell,restaurant,"131 Brainard Road, Hartford",ChIJJ2ouhalT5okR9N9I8z1OqeA,1024531.8832054762,829244.3733700305
Sun Splash Bar & Grill,restaurant,"428 Franklin Avenue, Hartford",ChIJBySwuxxT5okRMtiBH5cxZ9c,1020401.4595796865,829572.3638421969
Fat Franks Pizza,restaurant,"481 Wethersfield Avenue, Hartford",ChIJnVj9ZQVT5okRuRcYGeuwrQg,1021017.323962154,831350.3031842966
Wendy's,restaurant,"306 Prospect Avenue, Hartford",ChIJr3bD6Mus54kRqfI9lkbBl5U,1009677.4003170406,835886.471589898
George's Pizza Restaurant,restaurant,"2027 Park Street, Hartford",ChIJj5Koqcus54kRmtp6amHoJRA,1010156.4233054561,836148.8545364776
Au Bon Pain,restaurant,"80 Seymour Street, Hartford",ChIJGf-GsWxT5okRUp6zZUjyUwk,1019107.7796144998,835592.2954606132
J Restaurant | Bar,restaurant,"297 Washington Street, Hartford",ChIJaRDx4BRT5okRck5g3IUB20I,1018232.7203635394,835129.8790453398
McDonald's,restaurant,"172 Washington Street, Hartford",ChIJt5OFr2tT5okRoxtLtT4BzCU,1018572.3886435945,836647.0800403525
Hartford Restaurant Group,restaurant,"30-R, Bartholomew Avenue, Hartford",ChIJt1Qfq0tT5okRBfYpXARUaD8,1013032.297205177,836497.6456286745
Ipanema Cafe,restaurant,"1819 Park Street, Hartford",ChIJW7YIMDVT5okRqu3i6e9c21s,1011200.7613414145,836396.751089311
One World Market,restaurant,"24 Francis Avenue, Hartford",ChIJ2UZs-zVT5okRSaoNW2S25Vo,1012501.5993108609,836611.3043021287
Papa John's Pizza,restaurant,"1180 Broad Street, Hartford",ChIJQacuXxNT5okRKdV3XJ3B8R0,1017248.7248524047,835188.6806325348
China Garden,restaurant,"1 New Britain Avenue, Hartford",ChIJb8-pVRZT5okR_tetqqnwlpQ,1018155.6359257456,832897.1072874697
Arch Street Tavern,restaurant,"85 Arch Street, Hartford",ChIJ3QnGhXBT5okR7Zpf1ypHyBU,1021587.9176106647,838299.8085753366
The Capital Grille,restaurant,"44 Front Street, Hartford",ChIJAZAJcHpT5okRtflURcPQg8I,1021711.9690983072,838718.6120100315
Peppercorn's Grill,restaurant,"357 Main Street, Hartford",ChIJqxuGMW5T5okR9qMm4rcyLYQ,1020406.4902139199,837792.1385753768
Subway,restaurant,"493 Main Street, Hartford",ChIJbyd0429T5okRXIe0-kx1tao,1020511.711829061,838431.5966351734
Vivo Seasonal Trattoria,restaurant,"200 Columbus Boulevard, Hartford",ChIJdUh3N3pT5okRP1-O5EiOzCw,1021944.846154274,839076.1531768303
